category,product,rating,reviewText,date,deviceHash,verified,reviewLength
Food,Barfi,1,"Horrible Barfi, completely stale and disappointing.",2012-12-10,DEV-189804,True,6
Food,Sheera,5,Outstanding Sheera! Absolutely juicy and perfect.,2002-03-23,DEV-733363,True,6
Food,Laddu,4,Really liked this Laddu - perfectly succulent.,2021-03-25,DEV-739162,True,7
Food,Medu Vada,5,Best Medu Vada ever - super savory taste!,2015-01-21,DEV-806651,True,8
Food,Rasmalai,5,Outstanding Rasmalai! Absolutely succulent and perfect.,2000-09-30,DEV-981842,True,6
Food,Hyderabadi Biryani,2,"Hyderabadi Biryani was mediocre, somewhat soggy.",2005-01-11,DEV-291657,True,6
Food,Ramen,5,Best Ramen ever - super savory taste!,2010-10-30,DEV-229498,True,7
Food,Mishti Doi,3,Mishti Doi is average - burnt but edible.,2004-01-07,DEV-445151,True,8
Food,Halwa,2,Not great - Halwa tasted stale overall.,2022-07-14,DEV-337720,True,7
Food,Chicken 65,2,"Chicken 65 was mediocre, somewhat stale.",2026-09-23,DEV-896158,False,6
Food,Vada Pav,4,Delicious Vada Pav! Very juicy and satisfying.,2019-04-04,DEV-306597,True,7
Food,Rogan Josh,2,"Rogan Josh was mediocre, somewhat greasy.",2012-08-30,DEV-676670,True,6
Food,Sushi Roll,5,Best Sushi Roll ever - super savory taste!,2021-11-01,DEV-127630,True,8
Food,Sandesh,5,Best Sandesh ever - super savory taste!,2002-01-21,DEV-899606,True,7
Food,Barfi,4,Really liked this Barfi - perfectly juicy.,2025-01-29,DEV-275637,True,7
Food,Chicken 65,5,Outstanding Chicken 65! Absolutely crispy and perfect.,2017-03-22,DEV-236926,True,7
Food,Naan,5,Best Naan ever - super crispy taste!,2018-02-01,DEV-949003,False,7
Food,Aloo Paratha,3,"Standard Aloo Paratha, nothing stale exciting.",2007-07-27,DEV-675152,True,6
Food,Sheera,4,Really liked this Sheera - perfectly savory.,2009-11-29,DEV-678908,True,7
Food,Aloo Paratha,5,Outstanding Aloo Paratha! Absolutely savory and perfect.,2019-12-16,DEV-281485,False,7
Food,Appam Stewart,4,Delicious Appam Stewart! Very juicy and satisfying.,2000-05-07,DEV-332327,True,7
Food,Masala Dosa,4,Really liked this Masala Dosa - perfectly succulent.,2006-11-28,DEV-935774,False,8
Food,Ramen,4,Delicious Ramen! Very savory and satisfying.,2001-09-08,DEV-328647,True,6
Food,Pulao,5,Best Pulao ever - super juicy taste!,2026-01-05,DEV-400530,True,7
Food,Pav Bhaji,1,Pav Bhaji was burnt and inedible - thrown away!,2014-05-15,DEV-668441,True,9
Food,Sandesh,3,"Standard Sandesh, nothing burnt exciting.",2014-03-13,DEV-374152,False,5
