category,product,rating,reviewText,date,deviceHash,verified,reviewLength
Movies,The Dark Knight,4,Really enjoyed The Dark Knight! It's heartwarming and well worth seeing.,2010-01-05,DEV-246316,True,11
Movies,12th Fail,3,"Average movie: 12th Fail is clichéd, worth a one-time watch.",2001-06-04,DEV-131244,False,10
Movies,War 2,5,"War 2 is a gripping masterpiece, highly recommend!",2024-06-11,DEV-539898,True,8
Movies,Gladiator,4,Gladiator delivers a captivating story with great performances.,2015-04-06,DEV-391369,True,8
Movies,Dangal,1,The movie Dangal was clichéd - total waste of time.,2017-01-15,DEV-201414,True,10
Movies,La La Land,4,La La Land delivers a gripping story with great performances.,2024-01-20,DEV-230889,True,10
Movies,Laapataa Ladies,4,Laapataa Ladies delivers a heartwarming story with great performances.,2025-11-24,DEV-301629,True,9
Movies,Fight Club,5,"Fight Club is a heartwarming masterpiece, highly recommend!",2010-06-11,DEV-205907,True,8
Movies,Lagaan,4,Lagaan delivers a captivating story with great performances.,2015-12-08,DEV-319684,True,8
Movies,Barbie,3,"Barbie was decent, overrated in parts but nothing special.",2023-12-17,DEV-864544,True,9
Movies,Whiplash,4,Really enjoyed Whiplash! It's masterful and well worth seeing.,2014-07-19,DEV-983794,True,9
Movies,Inception,5,Absolutely loved Inception - heartwarming from start to finish.,2012-01-04,DEV-169403,True,9
Movies,Logan,2,Logan had some okay moments but was mostly predictable.,2017-09-30,DEV-774079,True,9
Movies,The Matrix,5,Absolutely loved The Matrix - masterful from start to finish.,2026-03-22,DEV-549245,True,10
Movies,Schindler's List,4,Schindler's List delivers a captivating story with great performances.,2004-01-29,DEV-892495,False,9
Movies,Sky Force,5,Absolutely loved Sky Force - captivating from start to finish.,2026-10-02,DEV-166613,True,10
Movies,Drishyam 2,4,Drishyam 2 delivers a masterful story with great performances.,2024-10-25,DEV-112038,True,9
Movies,Kalki 2898 AD,5,Absolutely loved Kalki 2898 AD - heartwarming from start to finish.,2005-01-01,DEV-407757,True,11
Movies,La La Land,4,Really enjoyed La La Land! It's masterful and well worth seeing.,2022-10-09,DEV-211579,True,11
Movies,Housefull 5,5,"Housefull 5 is a masterful masterpiece, highly recommend!",2006-11-09,DEV-492077,True,8
Movies,Pushpa 2,4,Pushpa 2 delivers a gripping story with great performances.,2021-12-01,DEV-120422,False,9
Movies,Mad Max Fury Road,4,Really enjoyed Mad Max Fury Road! It's captivating and well worth seeing.,2010-10-21,DEV-694916,True,12
Movies,Ponniyin Selvan,5,"Ponniyin Selvan is a gripping masterpiece, highly recommend!",2005-10-04,DEV-791798,True,8
Movies,La La Land,4,La La Land delivers a masterful story with great performances.,2009-07-02,DEV-665492,True,10
Movies,Mad Max Fury Road,3,"Average movie: Mad Max Fury Road is disappointing, worth a one-time watch.",2019-08-26,DEV-642717,True,12
Movies,Dune: Part Two,5,"Dune: Part Two is a heartwarming masterpiece, highly recommend!",2026-05-22,DEV-680828,True,9
Movies,Barbie,5,"Barbie is a gripping masterpiece, highly recommend!",2003-01-09,DEV-132938,True,7
Movies,Forrest Gump,5,Absolutely loved Forrest Gump - heartwarming from start to finish.,2009-08-11,DEV-665427,False,10
Movies,Yudhra,2,Yudhra had some okay moments but was mostly overrated.,2010-11-25,DEV-922733,True,9
Movies,Avengers: Endgame,4,Avengers: Endgame delivers a gripping story with great performances.,2015-11-22,DEV-544154,True,9
Movies,RRR,2,"Not impressed with RRR, felt clichéd overall.",2018-01-22,DEV-863587,True,7
Movies,The Matrix,2,"Not impressed with The Matrix, felt predictable overall.",2024-01-21,DEV-570405,False,8
Movies,Drishyam 2,5,"Drishyam 2 is a captivating masterpiece, highly recommend!",2019-11-17,DEV-947272,True,8
Movies,RRR,4,Really enjoyed RRR! It's masterful and well worth seeing.,2004-03-08,DEV-890170,True,9
Movies,Ponniyin Selvan,5,"Ponniyin Selvan is a thrilling masterpiece, highly recommend!",2017-12-27,DEV-161483,True,8
Movies,Article 15,5,Absolutely loved Article 15 - heartwarming from start to finish.,2012-10-17,DEV-543555,True,10
Movies,Stree 2,3,"Stree 2 was decent, disappointing in parts but nothing special.",2008-07-08,DEV-411120,True,10
Movies,12th Fail,5,Absolutely loved 12th Fail - gripping from start to finish.,2002-07-25,DEV-152578,True,10
Movies,Pushpa 2,4,Really enjoyed Pushpa 2! It's captivating and well worth seeing.,2022-10-12,DEV-184002,True,10
Movies,Dune: Part Two,5,Absolutely loved Dune: Part Two - captivating from start to finish.,2005-05-18,DEV-697347,True,11
Movies,Kill,4,Kill delivers a gripping story with great performances.,2026-03-07,DEV-692683,True,8
Movies,Your Name,2,"Not impressed with Your Name, felt boring overall.",2011-11-30,DEV-515011,False,8
Movies,Bhool Bhulaiyaa 2,4,Really enjoyed Bhool Bhulaiyaa 2! It's heartwarming and well worth seeing.,2000-06-01,DEV-580547,True,11
Movies,Avengers: Endgame,4,Really enjoyed Avengers: Endgame! It's gripping and well worth seeing.,2022-09-10,DEV-378082,False,10
Movies,Dune: Part Two,4,Dune: Part Two delivers a captivating story with great performances.,2012-10-13,DEV-265409,True,10
Movies,John Wick,4,Really enjoyed John Wick! It's masterful and well worth seeing.,2024-11-16,DEV-413921,True,10
Movies,Andhadhun,5,"Andhadhun is a heartwarming masterpiece, highly recommend!",2004-10-19,DEV-878480,True,7
Movies,War 2,5,Absolutely loved War 2 - captivating from start to finish.,2009-02-17,DEV-820892,True,10
Movies,Ponniyin Selvan,5,"Ponniyin Selvan is a heartwarming masterpiece, highly recommend!",2004-02-21,DEV-765095,True,8
Movies,Gladiator,5,"Gladiator is a heartwarming masterpiece, highly recommend!",2011-10-01,DEV-269430,True,7
Movies,Good Newwz,4,Really enjoyed Good Newwz! It's masterful and well worth seeing.,2005-01-06,DEV-178898,True,10
Movies,Pathaan,3,"Pathaan was decent, overrated in parts but nothing special.",2016-07-24,DEV-710805,True,9
Movies,Parasite,4,Parasite delivers a heartwarming story with great performances.,2001-10-15,DEV-475190,True,8
Movies,The Godfather,5,Absolutely loved The Godfather - heartwarming from start to finish.,2006-12-07,DEV-348237,True,10
Movies,The Batman,1,The movie The Batman was disappointing - total waste of time.,2008-01-17,DEV-872343,True,11
Movies,Chhichhore,3,"Average movie: Chhichhore is predictable, worth a one-time watch.",2007-02-21,DEV-925622,True,9
Movies,Inception,4,Really enjoyed Inception! It's thrilling and well worth seeing.,2008-12-13,DEV-956253,True,9
