category,product,rating,reviewText,date,deviceHash,verified,reviewLength
Restaurants,Moti Mahal,4,Great time at Moti Mahal! Food was flavorful and fresh.,2007-11-21,DEV-274853,True,10
Restaurants,Saravana Bhavan,3,"Decent dining at Saravana Bhavan, nothing disgusting special.",2000-07-07,DEV-495327,True,8
Restaurants,Barbeque Nation,4,Great time at Barbeque Nation! Food was authentic and fresh.,2026-05-05,DEV-919607,True,10
Restaurants,Toit,4,Enjoyed Toit - flavorful cuisine and good ambiance.,2009-08-14,DEV-556034,False,8
Restaurants,Neel,3,"Decent dining at Neel, nothing disgusting special.",2023-12-12,DEV-789711,True,7
Restaurants,Viva All Day Dining,3,Viva All Day Dining is average - food is bland but acceptable.,2022-03-28,DEV-398027,True,12
Restaurants,Yauatcha,3,Yauatcha is average - food is slow but acceptable.,2019-05-23,DEV-783024,True,9
Restaurants,L'Osteria Bella,4,Great time at L'Osteria Bella! Food was delicious and fresh.,2022-10-02,DEV-709165,True,10
Restaurants,Kake Di Hatti,2,Kake Di Hatti was okay but food tasted bland.,2019-01-07,DEV-472433,True,9
Restaurants,Kiyan The Roseate,3,"Decent dining at Kiyan The Roseate, nothing bland special.",2021-01-04,DEV-388326,True,9
Restaurants,Shalimar,3,Shalimar is average - food is overcooked but acceptable.,2013-05-05,DEV-106802,True,9
Restaurants,Dum Pukht,3,"Decent dining at Dum Pukht, nothing dirty special.",2015-02-16,DEV-927792,False,8
Restaurants,Adrift Kaya,3,Adrift Kaya is average - food is overcooked but acceptable.,2008-09-24,DEV-955063,True,10
Restaurants,Kake Di Hatti,3,"Decent dining at Kake Di Hatti, nothing bland special.",2006-01-05,DEV-817527,True,9
Restaurants,Shanghai,5,Amazing Shanghai! authentic food and perfect service.,2022-06-22,DEV-631178,True,7
Restaurants,Bukhara,3,"Decent dining at Bukhara, nothing overcooked special.",2005-07-28,DEV-966352,True,7
Restaurants,Spice Art,5,Best restaurant experience - Spice Art is truly exceptional!,2006-10-29,DEV-499626,True,9
Restaurants,Nathu's Sweets,5,Best restaurant experience - Nathu's Sweets is truly delicious!,2023-05-02,DEV-989369,True,9
Restaurants,The Table,2,Mediocre meal at The Table - service was slow.,2018-10-14,DEV-247885,True,9
Restaurants,Bikanervala,4,Great time at Bikanervala! Food was authentic and fresh.,2003-12-07,DEV-194679,True,9
Restaurants,Commissary,4,Enjoyed Commissary - authentic cuisine and good ambiance.,2007-05-22,DEV-518684,True,8
Restaurants,Nathu's Sweets,4,Great time at Nathu's Sweets! Food was exceptional and fresh.,2012-09-07,DEV-692680,True,10
Restaurants,Viva All Day Dining,3,Viva All Day Dining is average - food is dirty but acceptable.,2024-08-28,DEV-178199,True,12
Restaurants,Copper Chimney,3,Copper Chimney is average - food is slow but acceptable.,2015-12-17,DEV-929754,True,10
Restaurants,The Fatty Bao,5,Best restaurant experience - The Fatty Bao is truly delicious!,2023-08-01,DEV-277768,True,10
Restaurants,Copper Chimney,4,Enjoyed Copper Chimney - cozy cuisine and good ambiance.,2009-10-26,DEV-383215,True,9
Restaurants,Shanghai,4,Enjoyed Shanghai - authentic cuisine and good ambiance.,2020-01-14,DEV-869414,False,8
Restaurants,The Grammar Room,3,The Grammar Room is average - food is slow but acceptable.,2014-03-27,DEV-393684,True,11
Restaurants,Paesano,5,Best restaurant experience - Paesano is truly flavorful!,2020-09-02,DEV-216437,True,8
Restaurants,Yauatcha,3,"Decent dining at Yauatcha, nothing overcooked special.",2011-11-06,DEV-806981,True,7
Restaurants,The Fatty Bao,4,Great time at The Fatty Bao! Food was delicious and fresh.,2019-11-01,DEV-177704,False,11
Restaurants,Yauatcha,5,Amazing Yauatcha! exceptional food and perfect service.,2006-07-03,DEV-859193,False,7
Restaurants,Kiyan The Roseate,4,Great time at Kiyan The Roseate! Food was authentic and fresh.,2019-09-09,DEV-357089,True,11
Restaurants,Yauatcha,4,Enjoyed Yauatcha - delicious cuisine and good ambiance.,2004-08-14,DEV-362652,True,8
Restaurants,Neel,4,Enjoyed Neel - exceptional cuisine and good ambiance.,2003-10-04,DEV-327094,True,8
Restaurants,Darbar,5,Amazing Darbar! flavorful food and perfect service.,2017-11-15,DEV-354084,False,7
Restaurants,Yauatcha,4,Enjoyed Yauatcha - flavorful cuisine and good ambiance.,2011-08-31,DEV-854635,True,8
Restaurants,Karim's,5,Amazing Karim's! flavorful food and perfect service.,2003-01-16,DEV-944460,False,7
Restaurants,Adrift Kaya,1,Adrift Kaya serves disgusting dishes - never coming back!,2026-06-30,DEV-829866,True,9
Restaurants,Golden Dragon,4,Great time at Golden Dragon! Food was delicious and fresh.,2025-08-17,DEV-525708,True,10
Restaurants,The Bombay Canteen,2,The Bombay Canteen was okay but food tasted slow.,2026-01-30,DEV-693711,True,9
Restaurants,Neel,4,Enjoyed Neel - authentic cuisine and good ambiance.,2001-06-09,DEV-915891,True,8
Restaurants,Monkey Bar,2,Monkey Bar was okay but food tasted disgusting.,2025-06-07,DEV-610551,True,8
Restaurants,Toit,2,Toit was okay but food tasted overcooked.,2022-06-03,DEV-790915,True,7
Restaurants,Darbar,4,Great time at Darbar! Food was authentic and fresh.,2000-08-03,DEV-213378,True,9
Restaurants,Copper Chimney,5,Amazing Copper Chimney! flavorful food and perfect service.,2022-09-30,DEV-879347,True,8
Restaurants,Adrift Kaya,4,Enjoyed Adrift Kaya - authentic cuisine and good ambiance.,2011-09-12,DEV-913035,True,9
Restaurants,Shalimar,5,Best restaurant experience - Shalimar is truly flavorful!,2008-09-01,DEV-862704,True,8
Restaurants,The Great Kabab Factory,5,Amazing The Great Kabab Factory! flavorful food and perfect service.,2016-05-23,DEV-419953,True,10
Restaurants,The Grammar Room,4,Enjoyed The Grammar Room - exceptional cuisine and good ambiance.,2022-06-19,DEV-682779,True,10
Restaurants,Kiyan The Roseate,3,"Decent dining at Kiyan The Roseate, nothing dirty special.",2011-10-03,DEV-602425,True,9
Restaurants,Copper Chimney,5,Amazing Copper Chimney! exceptional food and perfect service.,2010-01-25,DEV-418535,True,8
Restaurants,Yauatcha,5,Best restaurant experience - Yauatcha is truly delicious!,2007-11-16,DEV-992120,True,8
Restaurants,Commissary,5,Amazing Commissary! exceptional food and perfect service.,2005-07-04,DEV-357861,True,7
Restaurants,Farzi Cafe,4,Great time at Farzi Cafe! Food was flavorful and fresh.,2024-01-07,DEV-678990,True,10
Restaurants,Spice Art,3,"Decent dining at Spice Art, nothing disgusting special.",2018-10-22,DEV-431891,True,8
Restaurants,Saravana Bhavan,4,Enjoyed Saravana Bhavan - authentic cuisine and good ambiance.,2014-02-14,DEV-982436,True,9
Restaurants,The Yellow Chilli,5,Best restaurant experience - The Yellow Chilli is truly delicious!,2006-02-24,DEV-190044,True,10
Restaurants,Tresind Studio,4,Great time at Tresind Studio! Food was exceptional and fresh.,2014-10-20,DEV-502882,False,10
Restaurants,The Yellow Chilli,2,Mediocre meal at The Yellow Chilli - service was dirty.,2001-08-04,DEV-342135,True,10
Restaurants,L'Osteria Bella,2,L'Osteria Bella was okay but food tasted bland.,2008-07-22,DEV-586492,True,8
Restaurants,Dum Pukht,2,Mediocre meal at Dum Pukht - service was slow.,2000-06-17,DEV-746007,True,9
Restaurants,The Yellow Chilli,5,Amazing The Yellow Chilli! exceptional food and perfect service.,2025-02-19,DEV-992330,True,9
Restaurants,Yauatcha,4,Great time at Yauatcha! Food was exceptional and fresh.,2007-11-11,DEV-917850,True,9
Restaurants,Indian Accent,3,Indian Accent is average - food is disgusting but acceptable.,2005-09-27,DEV-940178,True,10
Restaurants,Juniper Bar,5,Amazing Juniper Bar! exceptional food and perfect service.,2009-11-12,DEV-141434,True,8
Restaurants,Karim's,3,"Decent dining at Karim's, nothing disgusting special.",2014-04-03,DEV-788354,True,7
Restaurants,Punjab Grill,5,Amazing Punjab Grill! exceptional food and perfect service.,2018-04-13,DEV-367013,False,8
Restaurants,The Bombay Canteen,3,The Bombay Canteen is average - food is dirty but acceptable.,2016-10-20,DEV-980841,False,11
Restaurants,Commissary,2,Commissary was okay but food tasted overcooked.,2007-08-19,DEV-401440,False,7
Restaurants,Social,3,"Decent dining at Social, nothing disgusting special.",2002-10-08,DEV-181697,False,7
Restaurants,The Fatty Bao,5,Amazing The Fatty Bao! authentic food and perfect service.,2009-09-30,DEV-696732,True,9
Restaurants,Juniper Bar,3,"Decent dining at Juniper Bar, nothing disgusting special.",2022-10-03,DEV-226226,True,8
Restaurants,Kake Di Hatti,5,Amazing Kake Di Hatti! flavorful food and perfect service.,2007-09-20,DEV-244180,False,9
Restaurants,Big Daddy's,5,Best restaurant experience - Big Daddy's is truly delicious!,2004-03-05,DEV-154952,True,9
Restaurants,Monkey Bar,5,Amazing Monkey Bar! flavorful food and perfect service.,2006-05-14,DEV-196292,False,8
Restaurants,Commissary,4,Great time at Commissary! Food was flavorful and fresh.,2024-03-25,DEV-193115,True,9
Restaurants,Darbar,2,Darbar was okay but food tasted dirty.,2013-08-31,DEV-821086,True,7
Restaurants,Tresind Studio,4,Great time at Tresind Studio! Food was cozy and fresh.,2021-10-11,DEV-526316,True,10
Restaurants,Toit,3,Toit is average - food is bland but acceptable.,2015-08-08,DEV-389782,True,9
Restaurants,Punjab Grill,5,Best restaurant experience - Punjab Grill is truly cozy!,2002-04-29,DEV-182160,True,9
Restaurants,Karim's,5,Amazing Karim's! flavorful food and perfect service.,2001-03-24,DEV-526174,True,7
Restaurants,The Yellow Chilli,4,Great time at The Yellow Chilli! Food was delicious and fresh.,2024-07-16,DEV-297570,True,11
Restaurants,The Fatty Bao,3,"Decent dining at The Fatty Bao, nothing slow special.",2006-07-05,DEV-779603,True,9
Restaurants,Noorani Cafe,4,Enjoyed Noorani Cafe - exceptional cuisine and good ambiance.,2005-11-13,DEV-491381,True,9
Restaurants,Copper Chimney,3,"Decent dining at Copper Chimney, nothing bland special.",2016-12-27,DEV-467811,True,8
Restaurants,Big Daddy's,3,"Decent dining at Big Daddy's, nothing bland special.",2019-12-12,DEV-981437,False,8
